"metric" "n_bands" "simulation" "n" "method" "value"
"iters" "7" "17" "45" "LASSO" 1e-04
"time.user.self" "7" "17" "45" "LASSO" 1e-04
"time.sys.self" "7" "17" "45" "LASSO" 1e-04
"time.elapsed" "7" "17" "45" "LASSO" 1e-04
"time.user.child" "7" "17" "45" "LASSO" 1e-04
"time.sys.child" "7" "17" "45" "LASSO" 1e-04
"cv.iters" "7" "17" "45" "LASSO" 1e-04
"cv.time.user.self" "7" "17" "45" "LASSO" 1e-04
"cv.time.sys.self" "7" "17" "45" "LASSO" 1e-04
"cv.time.elapsed" "7" "17" "45" "LASSO" 1e-04
"cv.time.user.child" "7" "17" "45" "LASSO" 1e-04
"cv.time.sys.child" "7" "17" "45" "LASSO" 1e-04
"n.cv.par" "7" "17" "45" "LASSO" 1e-04
"lambda" "14" "17" "45" "LASSO" 1e-04
"lambdar0" "14" "17" "45" "LASSO" 1e-04
"kappa" "14" "17" "45" "LASSO" 1e-04
"condnum" "14" "17" "45" "LASSO" 1e-04
"EL" "14" "17" "45" "LASSO" 1e-04
"RMSE" "14" "17" "45" "LASSO" 1e-04
"F1" "14" "17" "45" "LASSO" 1e-04
"eTPR" "14" "17" "45" "LASSO" 1e-04
"eTNR" "14" "17" "45" "LASSO" 1e-04
"ePPV" "14" "17" "45" "LASSO" 1e-04
"d" "14" "17" "45" "LASSO" 1e-04
"iters" "14" "17" "45" "LASSO" 1e-04
"time.user.self" "14" "17" "45" "LASSO" 1e-04
"time.sys.self" "14" "17" "45" "LASSO" 1e-04
"time.elapsed" "14" "17" "45" "LASSO" 1e-04
"time.user.child" "14" "17" "45" "LASSO" 1e-04
"time.sys.child" "14" "17" "45" "LASSO" 1e-04
"cv.iters" "14" "17" "45" "LASSO" 1e-04
"cv.time.user.self" "14" "17" "45" "LASSO" 1e-04
